Public Law Title,FY,Amount,Deflator.Type,Source
"Retired Pay, Defense",1986,0,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1986,7489e7,Current,Table 6.8 DOD BA By Title
Procurement,1986,92506e6,Current,Table 6.8 DOD BA By Title
RDT&E,1986,33609e6,Current,Table 6.8 DOD BA By Title
Military Construction,1986,5281e6,Current,Table 6.8 DOD BA By Title
Family Housing,1986,2803e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1986,5235e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1986,-729e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1987,7401e7,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1987,0,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1987,7961e7,Current,Table 6.8 DOD BA By Title
Procurement,1987,80234e6,Current,Table 6.8 DOD BA By Title
RDT&E,1987,35644e6,Current,Table 6.8 DOD BA By Title
Military Construction,1987,5093e6,Current,Table 6.8 DOD BA By Title
Family Housing,1987,3075e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1987,2612e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1987,-809e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1988,76584e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1988,0,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1988,81629e6,Current,Table 6.8 DOD BA By Title
Procurement,1988,80053e6,Current,Table 6.8 DOD BA By Title
RDT&E,1988,36521e6,Current,Table 6.8 DOD BA By Title
Military Construction,1988,5349e6,Current,Table 6.8 DOD BA By Title
Family Housing,1988,3199e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1988,1246e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1988,-827e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1989,78477e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1989,0,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1989,86221e6,Current,Table 6.8 DOD BA By Title
Procurement,1989,7939e7,Current,Table 6.8 DOD BA By Title
RDT&E,1989,3753e7,Current,Table 6.8 DOD BA By Title
Military Construction,1989,5738e6,Current,Table 6.8 DOD BA By Title
Family Housing,1989,3276e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1989,897e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1989,-693e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1990,78876e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1990,0,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1990,88409e6,Current,Table 6.8 DOD BA By Title
Procurement,1990,81376e6,Current,Table 6.8 DOD BA By Title
RDT&E,1990,36459e6,Current,Table 6.8 DOD BA By Title
Military Construction,1990,513e7,Current,Table 6.8 DOD BA By Title
Family Housing,1990,3143e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1990,466e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1990,-859e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1991,84213e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1991,0,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1991,117234e6,Current,Table 6.8 DOD BA By Title
Procurement,1991,7174e7,Current,Table 6.8 DOD BA By Title
RDT&E,1991,36193e6,Current,Table 6.8 DOD BA By Title
Military Construction,1991,5188e6,Current,Table 6.8 DOD BA By Title
