source.table,fy,current.constant,usa.or.foreign,direct.indirect.hire,pay.type,amount
tbl_6-15,1992,constant,foreign,direct.hire,foreign.nationals.direct.hire,1273503000
tbl_6-15,1992,constant,foreign,indirect.hire,foreign.national.indirect.hire,3902331000
tbl_6-15,1993,constant,us,direct.hire,general.schedule,60951474000
tbl_6-15,1993,constant,us,direct.hire,wage.board,21559904000
tbl_6-15,1993,constant,foreign,direct.hire,foreign.nationals.direct.hire,1250248000
tbl_6-15,1993,constant,foreign,indirect.hire,foreign.national.indirect.hire,3697209000
tbl_6-15,1994,constant,us,direct.hire,general.schedule,60894206000
tbl_6-15,1994,constant,us,direct.hire,wage.board,19372236000
tbl_6-15,1994,constant,foreign,direct.hire,foreign.nationals.direct.hire,989263000
tbl_6-15,1994,constant,foreign,indirect.hire,foreign.national.indirect.hire,2905555000
tbl_6-15,1995,constant,us,direct.hire,general.schedule,59498388000
tbl_6-15,1995,constant,us,direct.hire,wage.board,18797718000
tbl_6-15,1995,constant,foreign,direct.hire,foreign.nationals.direct.hire,928768000
tbl_6-15,1995,constant,foreign,indirect.hire,foreign.national.indirect.hire,2868643000
tbl_6-15,1996,constant,us,direct.hire,general.schedule,58621164000
tbl_6-15,1996,constant,us,direct.hire,wage.board,17015967000
tbl_6-15,1996,constant,foreign,direct.hire,foreign.nationals.direct.hire,1135649000
tbl_6-15,1996,constant,foreign,indirect.hire,foreign.national.indirect.hire,2425962000
tbl_6-15,1997,constant,us,direct.hire,general.schedule,57193606000
tbl_6-15,1997,constant,us,direct.hire,wage.board,15749915000
tbl_6-15,1997,constant,foreign,direct.hire,foreign.nationals.direct.hire,942180000
tbl_6-15,1997,constant,foreign,indirect.hire,foreign.national.indirect.hire,2486376000
tbl_6-15,1998,constant,us,direct.hire,general.schedule,53640876000
tbl_6-15,1998,constant,us,direct.hire,wage.board,15079623000
tbl_6-15,1998,constant,foreign,direct.hire,foreign.nationals.direct.hire,841885000
tbl_6-15,1998,constant,foreign,indirect.hire,foreign.national.indirect.hire,2147760000
tbl_6-15,1999,constant,us,direct.hire,general.schedule,52522979000
tbl_6-15,1999,constant,us,direct.hire,wage.board,14380237000
tbl_6-15,1999,constant,foreign,direct.hire,foreign.nationals.direct.hire,733550000
tbl_6-15,1999,constant,foreign,indirect.hire,foreign.national.indirect.hire,1533406000
tbl_6-15,2000,constant,us,direct.hire,general.schedule,52136284000
tbl_6-15,2000,constant,us,direct.hire,wage.board,12613800000
tbl_6-15,2000,constant,foreign,direct.hire,foreign.nationals.direct.hire,701097000
tbl_6-15,2000,constant,foreign,indirect.hire,foreign.national.indirect.hire,1680731000
tbl_6-15,2001,constant,us,direct.hire,general.schedule,52401485000
tbl_6-15,2001,constant,us,direct.hire,wage.board,12152661000
tbl_6-15,2001,constant,foreign,direct.hire,foreign.nationals.direct.hire,684382000
tbl_6-15,2001,constant,foreign,indirect.hire,foreign.national.indirect.hire,1519290000
tbl_6-15,2002,constant,us,direct.hire,general.schedule,53852148000
tbl_6-15,2002,constant,us,direct.hire,wage.board,11942489000
tbl_6-15,2002,constant,foreign,direct.hire,foreign.nationals.direct.hire,686063000
tbl_6-15,2002,constant,foreign,indirect.hire,foreign.national.indirect.hire,1212027000
tbl_6-15,2003,constant,us,direct.hire,general.schedule,53988468000
tbl_6-15,2003,constant,us,direct.hire,wage.board,11464591000
tbl_6-15,2003,constant,foreign,direct.hire,foreign.nationals.direct.hire,486472000
tbl_6-15,2003,constant,foreign,indirect.hire,foreign.national.indirect.hire,1189056000
tbl_6-15,2004,constant,us,direct.hire,general.schedule,54802560000
tbl_6-15,2004,constant,us,direct.hire,wage.board,11885019000
tbl_6-15,2004,constant,foreign,direct.hire,foreign.nationals.direct.hire,513753000
tbl_6-15,2004,constant,foreign,indirect.hire,foreign.national.indirect.hire,1313588000
tbl_6-15,2005,constant,us,direct.hire,general.schedule,56640211000
tbl_6-15,2005,constant,us,direct.hire,wage.board,11890576000
tbl_6-15,2005,constant,foreign,direct.hire,foreign.nationals.direct.hire,482873000
tbl_6-15,2005,constant,foreign,indirect.hire,foreign.national.indirect.hire,1434880000
tbl_6-15,2006,constant,us,direct.hire,general.schedule,59654965000
tbl_6-15,2006,constant,us,direct.hire,wage.board,11313320000
tbl_6-15,2006,constant,foreign,direct.hire,foreign.nationals.direct.hire,597406000
