source.table,budget.type,deflator.type,military.dept,FY,amount
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1978,14797000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1978,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1978,119499000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1978,150844000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1978,130093000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1978,54800000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1978,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1979,31497000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1979,41694000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1979,34873000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1979,16657000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1979,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1979,120759000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1979,147787000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1979,127732000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1979,56980000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1979,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1980,34572000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1980,46984000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1980,41556000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1980,18871000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1980,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1980,121400000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1980,149250000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1980,132807000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1980,58075000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1980,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1981,43177000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1981,57050000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1981,52370000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1981,22952000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1981,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1981,133904000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1981,162873000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1981,148994000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1981,63461000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1981,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1982,52099000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1982,68034000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1982,65017000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1982,25518000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1982,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1982,146923000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1982,179415000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1982,169098000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1982,66570000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1982,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1983,57359000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1983,78951000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1983,73440000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1983,25743000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1983,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1983,153560000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1983,198448000000
